评论ID,版本,评论内容,评论时间,点赞数,情感标注,标注理由
14289,1.3,求兑换码,2023-08-18 20:01:31,1,,
94201,4.0,主题曲就这么没有了吗？[大哭][大哭][大哭],2026-02-06 20:40:50,1,,
17330,1.3,下个版本，4个4个4个！,2023-08-18 23:24:09,0,,
102172,4.3,怎么都这么快？！,2026-05-22 19:55:55,1,,
78995,3.5,CABVNS5EXN,2025-08-04 16:57:32,0,,
5584,1.0,已准备就绪,2023-03-25 16:19:43,1,,
48265,2.5,这里的镜流应该是回忆吧（）,2024-08-30 20:11:27,0,,
9865,1.1,到处逛,2023-05-31 23:12:43,2,,
8592,1.1,[脱单doge][脱单doge][脱单doge],2023-05-27 14:35:30,2,,
20683,1.5,枝门！,2023-11-03 20:17:36,0,,
87647,3.8,"前排前排兑换码:
2E2Y9TZFWFZQ
AFJZQBZXWFJC
2WKG9BZWFW3G
祝大家都能欧气满满十连必出大丽花呀！[给心心][给心心][给心心]",2025-12-05 20:01:05,0,,
101827,4.2,为了领奖励。,2026-05-01 13:38:32,0,,
31466,2.1,你到底是……,2024-03-16 20:06:11,0,,
42746,2.3,Pv分镜剪辑好有电影预告片的感觉啊，期待拉满了。,2024-06-07 23:40:13,0,,
102503,4.3,太好了 这下可以召唤自己了,2026-05-22 19:58:24,434,,
93269,4.0,虽然星铁作为游戏也有很多缺点，这段时间一直没有内容，一度成为铁黑，但看到前瞻星铁的进步还是觉得等的值得，新地图玩法设计实在太让我惊喜了[喜欢],2026-02-06 20:34:58,1,,
32940,2.1,这脸上的裂痕，这灰白的画面，是回忆？还是哀悼？我现在就想知道2.1的剧情口牙！！！[打call],2024-03-16 21:04:14,0,,
15730,1.3,话说回来停云的童鞋任务什么时候，仙舟之旅快结束了都没见着人[笑哭],2023-08-18 20:09:24,0,,
19489,1.4,许愿镜流,2023-09-29 21:54:46,0,,
12974,1.2,"崩三：要给几个妹妹攒奶粉钱，福利不能发太多
原神：好不容易才让这个家富起来，不能挥霍，福利不能发太多
崩铁：👴🏻是富二代，👴🏻想干啥就干啥，我踏马送送送送送[doge]",2023-07-08 23:50:01,2,,
35190,2.2,啊？景元元也来了？,2024-04-26 20:03:20,0,,
46667,2.4,！！！！！！！！,2024-07-19 20:46:51,0,,
98671,4.1,疑似炒冷饭，要搞以前三个星球风格展台，就算是为了收集愿力也搞点新东西吧,2026-03-13 21:06:18,0,,
45464,2.4,"《崩坏:星穹铁道》2.4版本前瞻特别节目「明霄竞武试锋芒」概述

兑换码:
1.2UJFW9F7LYMY
2.8DJFF8X6LZM4
3.KC3FFRE6LZMQ

卡池:
上半·角色:云璃(物理 毁灭)，藿藿(丰饶 风)
下半·角色:椒丘(火     虚无)，花火(量子 同谐)

上半·光锥:「落日时起舞」毁灭 「惊魂夜」丰饶
下半·光锥:「那无数个春天」虚无 「游戏尘寰」同谐

新地图:幽囚狱

新敌对生物:步离人

开拓续闻:明霄竞武试锋芒·上(2.4~2.5)

全新同行任务:铸剑为犁

新角色:朱明·云璃(五星物理毁灭，cv刘雯/若山诗音)，曜清·椒丘(五星火系虚无，cv陈张太康/丰永利行)，三月七·巡猎(四星虚数巡猎免费)

活动:「初花习剑录」赛博养徒弟，有漫画看(送满魂四星三月七)
仙舟·「日抛忆质留影计划」给「王下一桶」们拍照
贝洛伯格·「开拓，友谊魔法！」
巡星之礼
位面分裂，花藏繁生

其他:
遗器系统优化
提前体验活动(需达到21级)

联动:崩铁×keep运动练习
联动作家田中
崩铁×Fate stay night(2025夏，联动开启)",2024-07-19 20:11:31,3,,
64042,3.2,还差两个月才能七百天，有机会拿到吗[委屈],2025-03-28 20:54:56,0,,
9879,1.1,镜流中配一股子疯批味配得太好了好带感[脱单doge],2023-06-01 11:46:15,2,,
102105,4.3,[脱单doge],2026-05-22 19:55:27,2,,
85300,3.7,问一下各位，就是我一个手欠，当时垫池子的时候忘记看自己是不是小保底了把留给昔涟保底给阿纳克萨格拉斯了，就是问一下各位，这个版本地图里的宝箱和解谜，再加上下个版本的活动和地图的宝箱和解谜再加上两个小月卡，一个大月卡有四金的抽数吗？[笑哭][大哭][笑哭][大哭][笑哭][大哭][大哭][笑哭],2025-10-24 21:26:15,0,,
54080,2.7,[打call],2024-11-24 18:10:47,0,,
34435,2.1,"砂金啊啊啊快来,大保底已经备好了,看看能不能捞出来个专武了",2024-03-17 15:47:04,6,,
59983,3.1,还在憋吗[笑哭]，那周年庆真的就值得期待了,2025-02-14 20:16:15,0,,
33507,2.1,蠻好笑的[脱单doge],2024-03-16 21:29:55,0,,
103801,4.3,是兄弟就来砍我[doge_金箍],2026-05-22 22:22:49,2,,
63587,3.2,兑换码哪个好心人发一下,2025-03-28 20:34:58,0,,
61299,3.1,我去，万敌这坐姿，幻视战神2奎爷登上神作,2025-02-15 00:27:54,8,,
9313,1.1,"切开。美洲大蠊被横向切开，一块又一块，抛进滚烫的巧克力里。被机器切开的塑料片则要硬得多。 
撕扯。棒棒糖里最柔软的线绳，就和棉花糖一样，只要被戴着胶套的手轻轻一撕就会散落一地。
揉碎。空无一物的盲盒在颤抖的掌心被揉成一团，来自泰拉的空气把掌心弄得感染了矿石病，还弄脏了新买的黑旗。 
尖叫。只要天气瓶爆炸的速度足够快，就和巨量的麻醉剂一样，能在不被注意的情况下夺走顾客的生命。
哭泣。死去的霜星在哭泣。为什么被杀死的是她？为什么被迫活下来的人是我? 不。不。 他们还没有死去。美洲大蠊和霜星就站在我身后，拼命地捶打和呐喊。 从来都没有什么方舟。有的只有残酷的囚禁、切割、摆弄我们生命的樊笼。他们想要毁去这座樊笼。 我也想。",2023-05-27 21:59:32,11,,
21904,1.6,[打call]真理门！！！！！！！！！！！！！！！！！,2023-12-15 20:18:43,0,,
