版本,情感,排名,高频词,频次,评论数
1.0,正向,1,上车,290,2654
1.0,正向,2,崩坏,219,2654
1.0,正向,3,喜欢,137,2654
1.0,正向,4,开服,107,2654
1.0,正向,5,生日,98,2654
1.0,正向,6,原神,95,2654
1.0,正向,7,期待,92,2654
1.0,正向,8,铁道,91,2654
1.0,正向,9,公测,89,2654
1.0,正向,10,群星,85,2654
1.0,正向,11,急急,78,2654
1.0,正向,12,此行,77,2654
1.0,正向,13,终抵,74,2654
1.0,正向,14,终焉,70,2654
1.0,正向,15,归始,70,2654
1.0,负向,1,游戏,41,479
1.0,负向,2,原神,40,479
1.0,负向,3,崩坏,32,479
1.0,负向,4,眼睛,29,479
1.0,负向,5,开服,29,479
1.0,负向,6,还有,20,479
1.0,负向,7,公测,16,479
1.0,负向,8,错过,16,479
1.0,负向,9,直播,15,479
1.0,负向,10,同车,14,479
1.0,负向,11,活动,13,479
1.0,负向,12,铁道,12,479
1.0,负向,13,米哈,11,479
1.0,负向,14,傲娇,11,479
1.0,负向,15,终焉,11,479
1.1,正向,1,流镜,275,987
1.1,正向,2,主线,119,987
1.1,正向,3,罗刹,103,987
1.1,正向,4,银狼,89,987
1.1,正向,5,镜流,79,987
1.1,正向,6,喜欢,77,987
1.1,正向,7,急急,59,987
1.1,正向,8,崩坏,57,987
1.1,正向,9,剧情,42,987
1.1,正向,10,版本,41,987
1.1,正向,11,游戏,36,987
1.1,正向,12,更新,31,987
1.1,正向,13,世界,30,987
1.1,正向,14,方舟,30,987
1.1,正向,15,丹恒,27,987
1.1,负向,1,主线,675,1095
1.1,负向,2,剧情,172,1095
1.1,负向,3,版本,169,1095
1.1,负向,4,游戏,168,1095
1.1,负向,5,更新,147,1095
1.1,负向,6,兑换,99,1095
1.1,负向,7,任务,95,1095
1.1,负向,8,活动,94,1095
1.1,负向,9,玩家,85,1095
1.1,负向,10,内容,82,1095
1.1,负向,11,原神,73,1095
1.1,负向,12,过期,70,1095
1.1,负向,13,产能,60,1095
1.1,负向,14,体力,59,1095
1.1,负向,15,眼睛,59,1095
1.2,正向,1,喜欢,269,1787
1.2,正向,2,崩坏,113,1787
1.2,正向,3,妈妈,111,1787
1.2,正向,4,急急,108,1787
1.2,正向,5,卡芙卡,96,1787
1.2,正向,6,饮月,90,1787
1.2,正向,7,青龙,71,1787
1.2,正向,8,呜呜,67,1787
1.2,正向,9,景元,64,1787
1.2,正向,10,版本,62,1787
1.2,正向,11,丹恒,62,1787
1.2,正向,12,星穹,62,1787
1.2,正向,13,铁道,60,1787
1.2,正向,14,可爱,59,1787
1.2,正向,15,boss,51,1787
1.2,负向,1,版本,34,549
1.2,负向,2,卡芙卡,30,549
1.2,负向,3,兑换,29,549
1.2,负向,4,丹恒,29,549
1.2,负向,5,眼睛,28,549
1.2,负向,6,游戏,25,549
1.2,负向,7,原神,24,549
1.2,负向,8,剧情,24,549
1.2,负向,9,饮月,21,549
1.2,负向,10,难过,21,549
1.2,负向,11,适度,21,549
1.2,负向,12,爬行,21,549
1.2,负向,13,罗刹,20,549
1.2,负向,14,呜呜,19,549
1.2,负向,15,健康,19,549
1.3,正向,1,饮月,226,1517
1.3,正向,2,喜欢,186,1517
1.3,正向,3,符玄,159,1517
1.3,正向,4,好好,121,1517
1.3,正向,5,崩坏,112,1517
1.3,正向,6,做法,81,1517
1.3,正向,7,魂兮归来,80,1517
1.3,正向,8,星穹,79,1517
1.3,正向,9,疯狂,74,1517
1.3,正向,10,停云,68,1517
1.3,正向,11,铁道,68,1517
1.3,正向,12,原神,61,1517
1.3,正向,13,版本,61,1517
1.3,正向,14,摇铃,53,1517
1.3,正向,15,丹恒,52,1517
1.3,负向,1,停云,185,726
1.3,负向,2,游戏,71,726
1.3,负向,3,版本,55,726
1.3,负向,4,批评,49,726
1.3,负向,5,点名,41,726
1.3,负向,6,主线,41,726
1.3,负向,7,原神,39,726
1.3,负向,8,二字,34,726
1.3,负向,9,剧情,33,726
1.3,负向,10,眼睛,32,726
1.3,负向,11,我要,30,726
1.3,负向,12,一款,30,726
1.3,负向,13,兑换,28,726
1.3,负向,14,饮月,27,726
1.3,负向,15,符玄,27,726
1.4,正向,1,镜流,202,966
1.4,正向,2,喜欢,110,966
1.4,正向,3,三月,58,966
1.4,正向,4,遥遥领先,57,966
1.4,正向,5,托帕,54,966
1.4,正向,6,快乐,46,966
1.4,正向,7,中秋,35,966
1.4,正向,8,崩坏,34,966
1.4,正向,9,好好,33,966
1.4,正向,10,呜呜,33,966
1.4,正向,11,五骁,32,966
1.4,正向,12,景元,31,966
1.4,正向,13,云上,30,966
1.4,正向,14,铁道,28,966
1.4,正向,15,直播,28,966
1.4,负向,1,镜流,36,319
1.4,负向,2,版本,30,319
1.4,负向,3,主线,18,319
1.4,负向,4,眼睛,17,319
1.4,负向,5,三月,14,319
1.4,负向,6,活动,14,319
1.4,负向,7,剧情,14,319
1.4,负向,8,游戏,13,319
1.4,负向,9,原神,12,319
1.4,负向,10,停云,12,319
1.4,负向,11,符玄,12,319
1.4,负向,12,崩坏,11,319
1.4,负向,13,云上,10,319
1.4,负向,14,角色,10,319
1.4,负向,15,米哈,10,319
1.5,正向,1,景元,76,836
1.5,正向,2,银枝,75,836
1.5,正向,3,霍霍,72,836
1.5,正向,4,喜欢,42,836
1.5,正向,5,遥遥领先,38,836
1.5,正向,6,纯美,35,836
1.5,正向,7,好好,34,836
1.5,正向,8,枝门,29,836
1.5,正向,9,可爱,26,836
1.5,正向,10,版本,26,836
1.5,正向,11,原神,25,836
1.5,正向,12,BBXGD7M6KE5C,23,836
1.5,正向,13,3TWGVP5P2XLY,22,836
1.5,正向,14,BSFGUN5P3EL4,22,836
1.5,正向,15,直播,21,836
1.5,负向,1,景元,49,266
1.5,负向,2,游戏,25,266
1.5,负向,3,侵蚀,16,266
1.5,负向,4,星穹,15,266
1.5,负向,5,版本,15,266
1.5,负向,6,铁道,14,266
1.5,负向,7,加班,14,266
1.5,负向,8,眼睛,13,266
1.5,负向,9,将军,13,266
1.5,负向,10,批评,12,266
